title,company,salary,location,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Software Engineer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-software-engineer-cr257cb258cl271,2026-01-30T04:02:01.632584,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.635478,,,Negotiable,,,
Software Engineer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-software-engineer-cr257cb258cl271,2026-01-30T04:02:01.635478,,,Negotiable,,,
Java Developer,,Thỏa thuận,,https://www.topcv.vn/viec-lam/java-developer/2012915.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.636167,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.636167,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.636167,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.637078,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.637410,,,Negotiable,,,
Lập Trình Viên Android,,Thỏa thuận,,https://www.topcv.vn/viec-lam/lap-trinh-vien-android/2022616.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.637410,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.637410,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.637410,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.637410,,,Negotiable,,,
Backend Developer -  Lương Net Upto 20 Triệu (Hỗ Trợ Ăn Trưa) Tại Hà Nội,,Thỏa thuận,,https://www.topcv.vn/viec-lam/backend-developer-luong-net-upto-20-trieu-ho-tro-an-trua-tai-ha-noi/2022098.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.637410,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.640794,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.640794,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.640794,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.640794,,,Negotiable,,,
Lập Trình Viên .NET,,Thỏa thuận,,https://www.topcv.vn/viec-lam/lap-trinh-vien-net/1296167.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.642414,,,Negotiable,,,
